a   日曰
bf  炙祭然賒膘瞟縣瞧瞭鵬騰鷂鸚睒瞅膆賧鴅瞗縢膫膴膲瞴繇臐鵙矄臕鵰鵩臙鶤鶪鶢鶻矘煛爒爲眎肧脄腅賩鰧鴡鵎鷄鸎鸜黱冩県腙赊赕鶏鷪
bg  肚眶睦睢腫貍膛墾瞠雕瞳臃瞿雞胵眭脭脞脡脽塍睚腛雎膣膗朣膧臛矐臞矔眰睈睉瞤矅胿腟貛賍髉睳睉腘膶赃
bh  彤盼眇豺財彩彫腸膠賜膨肜豸胏胗眕睇贂朌肦肳膓髎睗肠肠賿賿财赐
bi  肘肱冠冤眩豹腑膊賤爵賻髑髖矚肕肒眃胘胠胕戙脟睋骫蜰膞膙螣臅戙蠈颻髆蠫寽戵朎肑胟賘县县戝肽胁脍賎购贱赙骪
bj  罕肝軍脾睥賊辭盰肸豻眲睅脺睟腩骭膟貏賥瞕膵賱瞫瞱髀貚贉盽睴肨胓腁腪膖臎辤眜貋贼髅
bk  奚朕胭胸敗腋睽膜瞰网狊胈胦眹朠睙腠瞁瞙骹貕骾貘贆覹矙盿睺矀肰胶腝买冈眍瞮瞮罓肞脑脳脵膎覐瞮贁败赎飖
bl  胛腳鼎肵盺胂眒胹郥郛鄆郹郻鄍賗骱鼏膷睤脚脨郮瞓肿脐腗腼郓
bm  且肛胚胝腔腥睡賦囗盷胜眐脛貾貹腄貆翢瞈膕膻髊冄円册写冝眡睻瞾胆豾骵骶冃睑睲胫胫脠脠脸腾膤贮贱赋赋鹏鹏鹘鹘鹞鹞鹦鹦
bn  冗刖肌刪盯則剛胰貯骯肊刐刞肐盵肮肣胇眝胻剮眱眵脝貥腧睮貐甖删肍骩则刚爳爳矃脷
bo  冢眨眺豚腴貶睫睞賅骸臉朦瞼矇胅胍朒朓眣胲脁脥腞睼瞛瞨臄冡歄肤脻贌瞆肷胀腻臜贝账贬赅赑
bp  眠腮懇臆懸朧矓腍膍瞣骴貔冟愳眤眦矁矖肶胒膔豼贃贚悬悬眂眬矈肹胧脦骮
bq  用胖眸舜腱瞬眻貄膦瞵眫睷胮军军羘脌賎
br  同周胎胴胳貂貼貽貉賂瞎賠骷膳骼膽謄谿瞻贍冏咼朐胊眙眧眳腒睭腡膇賙賳貙髂譻冋睵瞊瞘瞦胋胢脗脴膒膪詧豿賶嗠噕噕眗眮睗睰膅贴贻赂赒赔赡趸骺
bs  凸肋助肪胯勝膀贓臟眄盻胙眑骻臇矏朥眆肟脇腭贜髈矈肹胪膤臓
bt  冊皿胼脰瞌瞪臚髒體豋膉膃骿賹贐朑矑腽膯貖賉髗睐肼賆
bu  甩目見乳岡肥肫盹胞胱脆脫覓腕腌亂睨貌罌朊朏眈眊胐乿脘脕睆睍睌腃貀貺睕睠腯瞃覞虢瞡膮膬賵覭覶氍髐鼆囘旤眖睸瞐肬脃脱腉膡貎貦冚盶矒罂脜脜见觅贶赗陦骲髋
bv  妥罔脈眼脤脹腰腿賑賬嬰膿臘髏盳眓胺眽腇媵腲膢瞜貗朖肗脮臈貇骽婴脓脿褜赈髅
bw  腦瞄貓腷膰冨羀腖
bx  舀臍
by  丹腓脢貈胩赆
c   金
ca  曾鉑錯鈤銆鍺錩錔錉鍇鐠鐕銁鍲鏥鏪鏳鐟鐧鑥曽鐯鑙铂锏锗错锠锴镥镨
cb  鈉鈽銷鋪錦鎬鎘鏑鑰鈅鈰鉔鉓銪鋗錆錥錹錋錀鍗鎙鏞鐍鏼鐹鑐鑈鑴鈵銱銿鍈鍝鍴鍸鍽鏅鏋鏛鐈鐗銟鏰钠钥钸铈铕铞铺销锅锖锦镉镐镚镛镝
cc  釜貧頒頌鋇鎖鎮鐮鑽谼鉥錤錪鍞顉鎌鏔鐨鐀鐉鐼鑌鑕鑫兾豄釟鉙鍂鎭鎻鏆鐄鑎鑚鑛鑜鑟鑦釡鉷鋲鋲铔镇镔镰
cd  銖錚鎳鑠釪釨鉌銤銌銇銝鋍錞錁鍒鍱鎎鎟鏬鏿鏶鐰鐷鑅枀釶鈢鋢鍦鏁鏫鉇铄铢铩铮锞镍
ce  鈑鈹錄鍍鍛鍰鏝鑤鈒鈙銢鋄銶鋟鋑錣鋷錂鍜鍐鍑鎪鎩鏮鏺鑀鑊鑗钁淾鈘鈠銾録錽鎫鑁鑁钑钣钹铍锓锻锼锾镀镊镘镬
cf  鍊鍬鎢鏢鏍鑣炃鈥鳻錟錼錝鎷鎍鵜鵒鏚鏣鐐鐎鶲钂釥鈈錰鐛鑂鑔鵭鉨鉩銯鍄钚钬锬锹镖镙镣镲镳
cg  鈕銓銼鋰錐鍾鏜鏗鐘鐵鑼坌釷鉒銍銈銋鋌錴鍠鍷鏙鑸鑵鈓鋥錱鑃鑺尩钍钮铚铤铨铿锂锃锉锥锺锽镗
ch  分弟鈔鉍銻錫鍚釤釮鈖銵鎀豂鏐鏒鐋鐊鐬銹朆谺釖釾鉁钐钖钞铋铲铴锑锡镠
ci  公釵釣釩鈴鉉錢鏘鐲鑄谹釸鈦鈆鈜鈺鉧鉣銩鋐鋝鋨螸鎡鎒鎛鏹鏄鏀鐏鐖鑆鑮鑱钃蚠釰鈎鈛鉜鋳鍅鐞鑖鑧釻鉱鉵鍀钒钓钗钛钩钰铃铉铥铸锇锊锝锵镃镈镪镯镵
cj  針鋅鋒銲鏈鐸鑷釬鈄鉺銔錍錌鍕鎨鏎鐔鏵鑝单銒鋽錊鍓鎽鏠鏱釺鐴针钎钭铒铧锋锌镡
ck  父鈸鉸鎂鍥鏃攽敓釱鈌鉠銦鋘鍭豃鏌鐓鏾钀敚豀鈫銰鍨鏯鐭关釼鉂鉃錑鎹钢铟铰锲锳镁镆镞镦
cl  丫斧卻釧爺鉀鉚弚邠郤鈏釿銂鄫鋉鎯鈡鉮鋛鏩鐤兯爷郸鈟鋣鎁鎅鐁钏钏钟钾铆铘镩
cm  翁貢鈞鉗錘鏟鉦鉭鉏鉎鉽銊谾鋞錏鋋鍹鎉鎈鏏鑯鉟鉢鍟鎠尦錻鎺钧钨钱钲钳钵钽铛锤鹆鹆鹈鹈鹟鹟
cn  剃爹釘釗鈐瓮釔釕釚釳鈧鉶鉹銕鋓鍆甑鍘鑏瓫釠鍮鎆鉘钇钉钊钌钤钪铏铡锣
co  欲欽鈇錠釽鉯鈲銚鋏錸鍉鎵鏇鏦鏷鐌鐻鐩鐱鑳釞鉄鋜贫鈬鍁鏉鐝鐝钡钦铁铫锁锧锨锭镄镓镟镢镤颁颂
cp  忿慾錕釴鈊鈚鉈鈮鈱銠鋱鋕憌錵鍶懖鎞鎴鏕鏸鐿豅鑢鑨忩鈋鉳錜鏓鏭鐚麄兺兺总錺鍃鍯铊铌铑铽锟锪锶镱
cq  鍵谻鉡鉾鍏鏻鐽銉銭鎼鏲鐣鑻鈝鎿铎链键镎
cr  谷釦鈷鉛鉤銅銘鉻鋁鋸錡錮鍋鎔鎚鎗鈳鉊鉆鈶鉰鉐谽銛銗鉿銣銡鋙鋯鋊鋦鋡錧錒錭鋿鍼鍣鍧鎝鎕鏂鐑鑩鈻鉕鉫銄錇鍩鎋鏴兽銽鎶鎶鐥鑓钴钶钷钻铅铜铝铦铪铬铭铷铻锆锔锕锘锜锢锫锯镕
cs  兮鈣鉅銬鋤鍔鎊鐫釢釫鈁鋮銙鐒鐪鑶釛鈼鎸勜勜鈩錺钔钙钜钫铐铖铹锄锈锷镌镑
ct  盆鉼錳鎰鑑鑪弅鈃鋀錛鎧鎑鐙鑉鉝鉪銏鎾鐡鐦钘铗铼锎锛锰镒镫
cu  兌岔爸鈍鉋銑銳鋼鏡鐃釓毤鈀鈂鈗銃鉬銫銧鋎鋧錈鋺錓鋾鍎鎲鎤兊兑釲鈯銸鋔鋭鋴鋵錿鎐鑡鑬尣竃鈨鈪錷鎇钆钝钯钼铇铙铠铣铯铳锍锐锩镅镋镜
cv  銀銨錶鏤鑲釹鉞銥鋃鋩鋠鋹鎃鍖鍻鍡鎱鐶鑞鋖鋶錗冁釯鎄鑹钕钺铓铱铵银锒锿镂镮镴镶
cw  鈾鈿錙錨鐳鐺鎦鐇鑭錬鍢鍿鐂鑘钄钿铀锚锱镏镧镭
cx  鏽錎鍤鑇锸
cy  釙鉲鉖鋂鎓钋
d   木
da  杳柏楮楷槽檜櫓栒栺棤棔椿皙榰榗槆槢樴橧橁櫡櫧晳栢樎橬橺椙楿槠橸橹
db  柿柄梢桶棘棗棉棚槁構橘橢橋朿枘柟栜栯梋桸棆棈楈楀楄楴楜椯榍榾樀樆樠槦樇檛檎檽檷韝欈枂柨棛楕楧槅樋橌橗橣檰櫔欛韒杮椭槗樃韛韛
dc  棋楨槓頗橫賴檳櫃櫝朳枳柶柼栱梖椪椇榠槏槙樍賚樲橨樻檟櫇櫍欑韥梹樌横橮檱櫎櫕櫴鐢頼顂桠椣槇槟槟
dd  李林株梱棵森榛樑橾杅杝杍柂栫桴桲梌梊棌椈棎棞棦椕椸楪楙楺榤樔樼橖檁韕韖韘櫟櫯柇棥椁椞楳槕槡樤檏檪欁栋栋栎桗椺榇
de  皮枝板梭梂棣椒樣隸极杸柀梫桼棱棷棳棴椵楥椴榎槾樧檓檴櫠櫌欉栐栤椂椱椶榝様槺樶樷橃櫦欆欔叏权柡楾楾槛檩皶
df  杯杰柬紮棕焚楝禁標槭樵柰梑棪椋楸榚榪榡榞槂槱樏橑橪鶆鶇鶒鷘欓鸉欙樜樢橅檫櫀櫄櫒櫵櫾燓鴂鵣标棂棂樮橴檩鶫
dg  杜枉柱框桂栓梃椎榷櫂檯權杻桎埜梐桯梩桷梉桽楏楻榳樘樦橦橍檉欋欏堏壄栣楃槯権樭杢柽桩椢椢榁榸樫橻
dh  才材杉杪枴彬梯楊鬱枒枌柲桫梤棼楌樛槮橕檅朷柕柹椮鬰杨杨
di  寸村杓松梵棧韌楓槐榭樽樹機檮櫥杈杋构枟柎柃蚻榑榯蜤槸槫橶檥檒欂欃蠜韣欘欚杒栰桚梦棏槈樐樳橒橱檝檲檵櫁櫗欎欝螙韤枩栂栈树桟桧桪梼椨櫉
dj  末杆杵枓枰梓桿棹楠楫榫樟樺皯枺栮桻椑椊楎槔榵韎槤槲樥橝橭樿檡櫆韗韟韡杄桳榟槰槹橰檊檘櫣欇皹辢韚枠桦椫槠檋韠
dk  杖枚校敕梗楔模樊橄檄夬杕柍柭栚猌楱楩楑槉榩榽韍樉橔枖枢枤栶棭橂櫢敇枫栿棙椟椟橵欕
dl  束析柳柙梆榔椰槨櫛朻柛桏栭栦楖梀梛郴郲棩郼鼒厀杊枊栁栕桞梙棅楐枾枾栉桥椧榊榊
dm  本杠柑查柢桓栩植極榻整檀枑枃柸柤柦栻桱翉椌椏棫梴楦楂棰槎槥槿樝槶橿櫪櫼欞杫枏査柾栅椬櫭扌杩杩栈栍栏桠档检椡樰橼
dn  刺杭杼剌栘桁榆檸刌朾朹机杚枔柫桋栵梣棽楟楋椼橩檦刔杛梸棾椾橷檙櫈朰柠梈梻椚椡椤櫤欟
do  來柩核桃楚樅樸橡檢檬枎杴柣柧柉栨梜欶棶椓楰椗椽僰樕槬橛檖檨檚檺櫞朲椘検椩榢歀杁杦杦枛枞枨桢椨榌槚橼櫲膥赉赖颇
dp  枇棍想懋麓欐朼杙杺杹柁柅栳惁棯棇楒憖橞檍櫳愸慗憗杔栧梎梕梞楤樚樬檧檼櫘韢唜慭栊梍梽椖椛槵櫖櫶欅
dq  韋棒攀杽柈揧楗椲舝橉樨檞櫸栙样桙橓橽枡桝桟梿梿榉欅
dr  杏枯柯枸桔桐格梧棺椅楛榕槍槌樞檐櫚礬櫺柘枷柌枮栝桮梮梏梒桾梠棓椐棝椆椥楉楁椷榶榙韐橏檹檶櫙櫮枱柖柗桘桰楇楍槣檆櫊櫿榀榈榈橲
ds  朽枋柞楞榜榨朸杇枍柜枵柺柪栲桍梬樗橯檇櫋勅勑栛桺杤枥枦栃栌档椖椦榋槜槜樰橳欌
dt  柵械楹橙檻枅枻柆栟梇梪榼榿榓橀韞櫨枿桖榅榏榲枡梾槛
du  札杞枕杷相梳桅皰梔梡概楣榣橇橈櫬欖杌杬杶枆枙柷柮枹桄梲棬棡楯榹榥樈槻槴檤櫏栀栬梘梚梶棁棿椀椃槪樒杣枧枪桡桡桤榄槝槞櫷欟
dv  根婪棲樓櫻桉桹桭桵椄棖椹楬椳椻榱榬榐樾橠韔檭櫰欀棢楆楡楼檂檈欜辳杧桜楲樱
dw  東柚棟榴檔檣欄栖椔楢楅榃樄橎檑櫑欗梄槒橊樯
dx  樁韜槄橚櫅櫹桕櫩欍
dy  朴柝梅柊栴棜棑榧檌枣枬榒桛梺梺
e   水
ea  汨泊洵渚湣漕潛澗汩沓涾涽淐湆湝湷溍潳潽潧潪澮瀦洦湐湻漝潜潴濐濖濳瀂涧澘澛
eb  沛洧消浦涓涌清清淪淆湖渭湍溯溝滑漓滴漏滿滯潸潮濡瀰灞汭淯浠淜湇湑湡渧滈滆溮溣漘漰滫潃滽潏潲濄澫濔濿濷瀡瀹灊沞洅澫洕浳淸淿渪満滳澝濗瀥浉涡滞滞满满
ec  泗洪淇淦滇演漬潰潠濂澦濱瀆瀨瀕汃泬沭浿浾湴淟湞溟溓溳濆澒潢潩鋈澬鎏鍌鍙瀇濻瀢瀩顙瀵瀷瀻灒灝灦灨洂浜湏溑滨濓濥濵濽瀬錃頚頮湿灐
ed  汙池沐沬染柒桑浮梁淳淋深淨游渠溧粱滌潺澡灤洊洙浡涍涂浨涃淭淉淗渫湤溱滁滐滊滹漅澖潗澯澲濼桬汓沲泘洡洣浄渘湈溨滦潥潹澟濚瀞瀮泺涠涤湺溁
ee  沒汲泳波浸浚淑涵渡湲漾漆漫潑澱濩瀑汳汥沝淩淥敪淼溲溙滱漃漮澓潻濴濲瀔瀀瀫灁双叒叕敠汷没浗涭涰渁渌湶溆溊溵漛潊灇鼝汉泼溭滠濅
ef  涼淙淡源滅漂漯漁潦潔潟燙濕鴻瀉鯊沶洃溈湅渿湠湫溔溹溤漹漈潶潕潐潫澋澿濝瀌瀠鵽瀿瀳鸂溩溸漴潙澙濙灙鳮沵潆烫
eg  汪注浬涅涯淫淮渥湮湩湟塗溼潼潤濯濰灌灘灘圣洭洼洷垽浧淕堻湹塣滏溎漼漜漟澭濉瀍瀅瀖灈灉灅灕坔埿壍沑洤涏涶滙滩漄潌塰汢润滢潅潍濹难
eh  沙汾泌涕涉湯渺滲澎沏沕泲沴浵漻滮漡濊濏灪浝涁淧渉渗瀃汤汤浐
ei  叉汐汍汎汰法泓泠蚤淺淞滋溥滷潯濁濤濺汊汋沄汯泫泭浤涐淂渢溽溞滍溾溡漙漒澍澐濈澪濧璗瀎瀜灂瀺灟魙对戏沟洔浖涛湗溬澊灋瑬沩浊浌浍浔溅
ej  汁汗汛沫洱淬湃渾滓準漳漣潭澤汻泙涆涬淖湳渳湒滜滸滭潬澕澣澼濣濢灄灛汘浫浲渒漨瀈聻沣浒浒
ek  決沃汶泱洶液淚湊渙溪溴漠澈澳激瀲汏汱沷洨洑浂洇洢浭浟涘涋洖淏渼渜湀湨湥渶溦潎漵滶漺澉澂潡潣澞汹涙渂湙潄潵潵瀓沤沨涣渎渎滧漖漖潋
el  沖沂泖洲浙淵淅湎漸汌沜洏浺洍涑淠漷澌濎瀄濞済渊澵邓济渐渐渖潇
em  江沍沮泜洹涇涎渲渣溺澶澀瀚瀝沚泔泍泹泩涳淢淔淽渱湦溠滃滻漍澅潝瀣瀸灗叠汮泟洆湰湼漋漌潂澁瀐汈泻泻泾泾涩渍渔溅潅潍难驾鲨鸡鸡鸿鸿
en  汀汽沆沸洌涔涮湔測渝濘瀏瀛灣氿汔沀泞洟洬洐剟浰淛渟漧滼瀱汵汿泦涥渆湾瀭灜乷乼测浏渕溂
eo  泅泛洮浹涿漩漢漱濠濛濮泆泒浞淀淶欼湜溛溷潀漇漎潒濋澽澨澰歠欢氼汄汣沠沢泤湪湵潈澻瀽灍浈涢涨渋渍渓溃溕滪潨濑濒灏颒颡
ep  沁沘沱泥泯洩涊添混懣濾灑汦沎泚淴淰惉溗漉漶潓澺澸濍濦濨懘瀧瀗慂汑渇滺漗潉怼懑沦泷溌滤滤澚
eq  洋津泮洚洠浶挲湋湕溿潾潿潷澥汼浅淎溄漽澾泽浑浑涟涟
er  河沽沾沼沿治洞活洽洛浴浩淌涸涪減渦溶滄漪澹呇泂泃泀泇沰洳洄洺洁洉涒浯浻涫涺淍涻湉渽湁渃渮湱渹硰溏滒滘碆漚澔潞瀯沯浛渏溚滣濶濸瀶
es  污沔湧渤滂氻汸泐洰泑洿洘涄淓澇劝汅汚沪泎湂澷汇沥泸涝涠澚
et  泣泄洫盜溢溘溫澄澧濫盪瀘汧汫洴浢渀盓渰湓溰漭濜濭瀊灃灆灩泋泴涖温溋潱盕浃涞湿滥灎
eu  氾汕沈沉沅沌況泡流洗洸洎浥淹淘港湘溉湄滬澆澠濬汜沋沇泏洈浣浘涗浼涀涴淈淝淲淣毲渻湸湚滉滵漞瀙灀灚灠峾泪涚淃渞滛滝滰漑峾濪灔灧覌沧浇浇涜渑渷滗滟潖观
ev  汝派娑浪婆淒湛渴裟滾漲濃澴汒泧洝浽渨滖溒漊瀁瀤瀼瀴灢嬱泿浱涱涹淁湌滚浓溇漤艰
ew  油酒淄溜潘瀋瀾沺洒浀涷湢渵滀濇澢灡湭澑湽澜澜瀒瀒畓
ex  滔濟瀟淊潚
ey  汴海淤泝洀灖泈渄溻浕
f   火
fa  粕嘗熾燴糟焟粨熠糌熸糬暼焝焻煯熷糣焔糩
fb  肖炳脊常烯幣精糊燸糯帣烠烳焆焨煸煟煓熇熁膋熵熥糈燏燆糒燤爚糲焇焫焴爄糄幤焩煳煹燗糏糥
fc  烘煩賞糞類烡熐熉頖熿熼燲顃鎣爌纇顲兤焃熑燌燫爀粠粸鐅頪兴炽熕粪黉黋
fd  米籽棠煤榮燦燥爍灺炑烰焞煣煠熂粿糅燊爃巣檾炢炧烌焑燣燺秌粚粰粷栄桊炜炼炼烀烁
fe  叛煆煖燮燬糠爆粄焌敥滎熳燰夑炈炍煅熶爜糉糭发泶粶
ff  炎煉熒粽燎燃糕縈燻黨鶯鱉焱絭煍熛禜燋燚爊鶺鷩爣尛炋炏烣熓熫燝燳爎爑爕駦鮝鶑尜燷鴬鵥
fg  灶堂雀塋煙煌瑩糧耀炄炷烓烇粈烶煃煄粴觠熞燿爅爟粧坣尘烾焳熣熦燑爠糎糚糛糘
fh  少券炒粉煬糝灱粅焍烿牚爩焬熮粆糃炀炀糁
fi  灼炫螢燭糰炂炩籿燖燇糔糐燨糨蟞燽爝爞蠽烛烵煈煿燯爡爥糍飊尝戦灬烩籾粏蛍
fj  料焊烽粹輝炓籵籸粁粖焠焯煇煢煂粺熚燂燀燁燡単炐焷煵熢粋烨
fk  尖敉敝敞煥粳燉燠糢炔炆炴粀焲煐獘燘糗厳数炇炦烄烟烪煗燩类糇敩焕獣糤
fl  鄰炘粌郯奍炌炠烥燍糆邩斴粫
fm  粗煽灴炟炡烜烒烴烻焢煋糑翷爧当煊爏甞粓烂烃烃鲎鲎鲞鳖鸴鸴鹡鹡
fn  判炕削彆弮籺剡烆瓽熪甇糋甐灯灲炥焪焭籶粇劏
fo  炊豢燧尐烑烗烼欻焮熯蹩歘焿煫煶熌粎烦璎糘赏颣
fp  焜熄燜斃烢憋熝熜燱麊尡灹炨焧煾熴燪爈爖籷粃粩憥憥炛焖焖焾糀
fq  半拳烊掌犖燐牶揱煒煡韏挙撆爗粦举举燵辉辉韑鼡
fr  尚炯炤烙焙熔糖營糙烔烚焗焐焓焀粘粡煔煘煰煻熗熰謍尙炣炲炶炻烱焒煱熍熺糦営喾焅粭誉誉誊
fs  劣炬炸烤勞粔爔労劵勌炉爋勬炜粐粝
ft  粒煜弊燈燼爐烅粣焺熅熆熤爁糮灷煴
fu  光卷炮省眷氅燒瞥炖炾党烍粑粍烷焥亃煝粯熀熩覢罃覮虩鄨齤爦嵤巻灮炪焵煷煼熎籼糡覚鼈峃毟灿炝烧烧焼煀覍觉龞
fv  煨裳籹烺嫈煁嫳粻粼熡褮爙娄焹爘粮糂飬煺燶爉糫餋餋
fw  當爛粞煪燔醟糷煏爤畄畨粙熘畑粬
fx  焰熽爓熖
fy  炵烞烸炿烐熻炞烬
g   土
ga  堵增赭馨堷韾堦堾増暬墸墹趞
gb  冉埔堉趙幫壩埇埽堋埥堣堶塉塙塥墉墆塴墑壖趫毊埍埨墒墧壻幇埚
gc  赤填赫墳賣頡壙贅埧塓塤趛鋆赬贄壝趪鏊鏧顤趲垬垻塡墤墴趩頳坹垭壶壸
gd  地圩垀垛垺埻堔堁埩埰堞塛趎趓槷趜壈趮垜堢槖墚
ge  圾坡赧報殼鼓穀趣轂夌埐埭堎埱嗀彀嗀墁榖漀瞉敼縠赮觳豰皾鷇叝坂坄埈堫塅墢殻漐瑴皷皼糓趢隷鼔殸毂
gf  坏塢熬熱熹壎燾埮堜墂燅縶鴶趭鵱驁騺鰲鷙塐塬墄墌墕墲灻烖趂驇鷔鷧
gg  圭埋堆墊臺坴垤垚埕埆堐堙堹堭墔趖墥趡趯鼞堘堼壦壵垅塰壥
gh  場彭趁坋埸赻趀墋刧圽塲声场场埗
gi  去寺封執塊塒壽螫圴坶坽埒埶堍堸尌赨塼墫壿螜壔螯蟄鼜圡坿垨塷墛墵壜夀蟚蠧魗圹坛埓埘塮
gj  坪幸埠埤趕聱聲鼙毐垶赶埣墇墠趠墿鞤圲垾埄堓堚塳墰壀
gk  埂埃敖赦堠塽墩坱垘赽堧塻獒墽墺壧刼坆块坟垁趰坺垯垴堗赵
gl  圳圻坤赳郝邽邿垹墎鼘却圿堺赾趚郆壭
gm  址均坩坦垣域壺塌墟壇翹壢坯坵坻埴埏埡赹堩埵趄塕堽壼趐墐翿噽圵坘坥埪塇壃壷趆趋韯坞坞垭垱壶壸骜骜鳌
gn  坑圢圪坅刲坲垿埁堬趍趔墘甏刦垑壳赺坾垳塆壪
go  坎走垓堤款塚壕垗欯瓡趑趒墣壉歖趧埉埞堟塜赥赱赼趃趗圦坝坬坬埙赏赘赪趱颉
gp  志懿坁坭坨垞恚塨塶愨慹垊埝堒塖壠壱慤憙赿趝唟圫垅埖塄悫
gq  墀摯坢垟垏埲犎摮摰墷撀墶
gr  吉坷垢培喜堝超嗇塘塔嘉趟磬坫坰垌垥埼堌堿塎趌趏墡赯謷謦謺嚭鼛囍喆嗸嚞坧坮坸垎垖垧埛塠塸趈趤趦啬埫
gs  圬劫坊城垮勢劼坳赲堮塝墈壾勎劸坜垆塄
gt  垃盍壹塭壴塏墱壏壒盩壚壣塧塩墭弆趇垪塀壗盐鼟
gu  圯起堯境罄趨瞽鼇圠圮坉垝垙垸赸埢堀堈堄堳趉亄赩覟墝鼁鼀趬覿坃坈垍垷埦売趘鼃圥圸垇垉垲垴塂嶅郌
gv  垠袁喪堪堰越壞壤垵埌堨塿朅鼚埯壊嫯丧塃壌褺
gw  墦埬堛塯趥墻墖夁堖墙埬
gx  埳壛塪
gy  坍卦坼赴鼕圤翓圷垰
h   竹
ha  白昏徇香舶筍箔箸稽簪簡籍昋昝稓皛氆徻濌簎艚氌穭馫凬毥稥稭稲簮艪凮徣晵氇穞简简箺軄
hb  帛肩帥師稍稀策犒稱稿篇篙篩歸魎魑籥帠舑幋稐筩筲艄犕稰稨箐箍皜艑犞篝篟穚篱艜魈簥犡簼簻鶳鼱黐帋徧皘秿稝稩穤穪笍箒篐簚籂籋臖艊颵魉乕凧币帍犏甧筛箶篅
hc  貿須箕與質積興頹輿颶簧簣犢簾贊顧籟黌籲秫犋舼稘頎稹篊頧篔篢鴥穔簀顊顅簨魌穨馦鶀穬籅鼰贕鼸籫軉牭穓穦穳筫簤簯簴籄貭鋫錅鍫鎜頟頶頺頽頿顖馩馪魐乊凲凲皟积稴穥簱鍫籏籏舆舆飓
hd  乎禾朱朵牠釆季竽徐臬梨梟稞躲孵槃箏魅學築篠牸秝棨犉稃稌稕稛筡艀艅箖箘箷艓篥篨馞鵌皪夈条棃槩毩犔秄稇竾筂筙筞躱躶躹乐凩彵枭毱秼穕穕筝筟筿箰簗馟
he  反役彼後段泉皈叟殷舨般毬復黍毀稜稷黎艘馥穫簸颼籐殳彶笈笝笯徦稄犌稯箙鬾艐毈毇澩鵔犦忁籙齂艭犪鸔灥凤叐夂夊敮斅毁洜湬秓秛稪穅箃箓躿鵦鼗夓夓敽澃皧穝箥篗篗簶籆籰艔艧飕飕鸌鹱
